image,segment,x,y,method
segment_01\establishing.jpg,segment_01,11.4337,9.0121,UMAP
segment_01\facade_01.jpg,segment_01,12.1881,9.1916,UMAP
segment_01\facade_02.jpg,segment_01,11.6126,9.3801,UMAP
segment_01\facade_03.jpg,segment_01,11.8599,9.0105,UMAP
segment_02\establishing.jpg,segment_02,11.7970,5.3438,UMAP
segment_02\facade_01.jpg,segment_02,11.7254,5.9424,UMAP
segment_02\facade_02.jpg,segment_02,12.2664,5.0910,UMAP
segment_02\facade_03.jpg,segment_02,12.6106,5.1315,UMAP
segment_02\facade_04.jpg,segment_02,12.2848,5.6563,UMAP
segment_03\establishing.jpg,segment_03,11.5094,8.2025,UMAP
segment_03\facade_01.jpg,segment_03,12.5903,7.6565,UMAP
segment_03\facade_02.jpg,segment_03,13.2677,7.8395,UMAP
segment_03\facade_03.jpg,segment_03,10.9821,8.1017,UMAP
segment_03\facade_04.jpg,segment_03,12.9602,7.8841,UMAP
segment_04\establishing.jpg,segment_04,13.7650,7.2678,UMAP
segment_04\facade_01.jpg,segment_04,13.4070,5.9955,UMAP
segment_04\facade_02.jpg,segment_04,13.6532,7.6829,UMAP
segment_04\facade_03.jpg,segment_04,13.3802,6.9713,UMAP
segment_05\establishing.jpg,segment_05,12.4158,8.2717,UMAP
segment_05\facade_01.jpg,segment_05,12.0112,8.3471,UMAP
segment_05\facade_02.jpg,segment_05,11.8331,8.5797,UMAP
segment_06\establishing.jpg,segment_06,13.1205,6.3709,UMAP
segment_06\facade_01.jpg,segment_06,13.2038,8.7869,UMAP
segment_06\facade_02.jpg,segment_06,13.6672,6.3282,UMAP
segment_07\establishing.jpg,segment_07,12.8145,5.5063,UMAP
segment_07\facade_01.jpg,segment_07,12.5862,6.0340,UMAP
segment_07\facade_02.jpg,segment_07,11.9424,7.4650,UMAP
segment_08\establishing.jpg,segment_08,11.2720,7.1193,UMAP
segment_08\facade_01.jpg,segment_08,13.5748,5.7057,UMAP
segment_08\facade_02.jpg,segment_08,12.8615,8.4856,UMAP
segment_08\facade_03.jpg,segment_08,10.9442,7.6998,UMAP
