image,segment,mean_cosine_distance_to_others
segment_08\facade_03.jpg,segment_08,0.71913
segment_08\facade_01.jpg,segment_08,0.71262
segment_02\facade_04.jpg,segment_02,0.71016
segment_07\facade_01.jpg,segment_07,0.70342
segment_02\facade_03.jpg,segment_02,0.66723
segment_02\facade_02.jpg,segment_02,0.66013
segment_08\establishing.jpg,segment_08,0.65535
segment_02\establishing.jpg,segment_02,0.64824
segment_06\facade_02.jpg,segment_06,0.64452
segment_06\establishing.jpg,segment_06,0.64194
segment_04\facade_02.jpg,segment_04,0.63351
segment_03\facade_04.jpg,segment_03,0.61985
segment_03\facade_03.jpg,segment_03,0.61630
segment_06\facade_01.jpg,segment_06,0.61569
segment_03\facade_02.jpg,segment_03,0.61311
segment_04\facade_03.jpg,segment_04,0.61114
segment_07\establishing.jpg,segment_07,0.60598
segment_04\facade_01.jpg,segment_04,0.60580
segment_02\facade_01.jpg,segment_02,0.60269
segment_04\establishing.jpg,segment_04,0.59627
segment_03\facade_01.jpg,segment_03,0.59440
segment_03\establishing.jpg,segment_03,0.58642
segment_05\establishing.jpg,segment_05,0.58578
segment_01\facade_02.jpg,segment_01,0.57971
segment_05\facade_02.jpg,segment_05,0.57746
segment_01\establishing.jpg,segment_01,0.57443
segment_05\facade_01.jpg,segment_05,0.56188
segment_08\facade_02.jpg,segment_08,0.54834
segment_01\facade_03.jpg,segment_01,0.54355
segment_01\facade_01.jpg,segment_01,0.54226
segment_07\facade_02.jpg,segment_07,0.52380
